#,Name,Team,Year,Pos,App,GS,W,L,SV,CG,BF,IP,IP/G,BIP,H,H/9,R,ER,BB,BB/9,BB%,K,K/9,K%,K/BB,HR,HBP,LOB %,ERA,ERA-,FIP,FIP-,E-F,WHIP
43,"Samuel
 Feltz",OFL,Jr,P,18,1,4,0,5,0,108,26.67,0.48,65,20,6.75,5,5,8,2.70,7.41,32,10.80,29.63,4.00,0,3,83.87,1.69,26.29,3.41,53.05,-1.72,1.05
46,"Tanner
 Mueller",OFL,Fr,P,16,0,1,0,0,0,116,22.00,0.39,42,15,6.14,24,16,29,11.86,25.00,38,15.55,32.76,1.31,1,6,53.50,6.55,101.90,6.48,100.79,0.07,2.00
70,"Ian
 Benner",OFL,Jr,P,6,2,0,0,0,0,90,19.33,0.35,66,25,11.64,12,11,7,3.26,7.78,12,5.59,13.33,1.71,3,2,73.83,5.12,79.65,6.75,104.89,-1.63,1.66
77,"Matt
 Haley",OFL,So,P,9,7,1,4,0,1,168,32.67,0.58,106,47,12.95,30,29,23,6.34,13.69,29,7.99,17.26,1.26,7,3,68.04,7.99,124.30,7.97,123.93,0.02,2.14
80,"Chase
 Becker",OFL,So,IF,1,0,0,0,0,0,6,1.00,0.02,2,0,0.00,1,0,2,18.00,33.33,2,18.00,33.33,1.00,0,0,50.00,0.00,0.00,6.57,102.21,-6.57,2.00
82,"Blake
 Bax",OFL,So,P,1,0,0,0,0,0,19,5.00,0.09,10,1,1.80,0,0,3,5.40,15.79,5,9.00,26.32,1.67,0,1,100.00,0.00,0.00,4.97,77.33,-4.97,0.80
83,"Dylan
 Bates",OFL,Fr,P,1,1,0,1,0,0,19,2.33,0.04,11,9,34.76,8,8,4,15.45,21.05,3,11.57,15.79,0.75,1,0,43.10,30.86,480.10,12.73,197.88,18.13,5.58
84,"Pierce
 Hartmann",OFL,Jr,P,7,7,2,2,0,0,140,31.33,0.56,95,29,8.33,17,16,14,4.02,10.00,23,6.61,16.43,1.64,3,5,70.78,4.60,71.56,6.17,95.92,-1.57,1.37
84,"Griffin
 King",OFL,So,P,1,1,0,0,0,0,15,4.00,0.07,9,2,4.50,0,0,4,9.00,26.67,1,2.25,6.67,0.25,0,1,100.00,0.00,0.00,7.82,121.64,-7.82,1.50
87,"Jack
 DuMont",OFL,Fr,P,9,7,1,4,0,0,136,25.67,0.46,71,25,8.77,32,28,28,9.82,20.59,26,9.12,19.12,0.93,5,6,51.92,9.82,152.77,9.05,140.76,0.77,2.06
87,"Owen
 Schexnaydre",OFL,Fr,P,4,4,1,3,0,0,84,16.67,0.30,57,22,11.88,19,18,11,5.94,13.10,15,8.10,17.86,1.36,0,1,44.12,9.72,151.22,4.93,76.71,4.79,1.98
