Name_With_Blanks,Name,#,Team,Conference,Division,Year,Pos,G,PA,PA/G,Qualified,AB,R,R/PA,H,1B,2B,3B,HR,RBI,BB,BB%,K,K%,TTO,TTO%,SB,CS,SB%,AVG,BABIP,OBP,SLG,OPS,OPS+,Adj. OPS+,ISO,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,RC,wOBA,wRAA,wRAA/PA,wRC,wRC+
"Sam
                                                                        Seeker","Sam
 Seeker",21,CCY,Eastern,Ohio River Valley,Jr,OF,30,114,1.97,No,97,16,0.14,28,20,6,0,2,11,14,12.28%,18,15.79%,34,29.82%,3,0,100.00%,0.289,0.325,0.368,0.412,0.780,94.04,83.74,0.123,0,3,0,40,8,1,17,29,0.59,16.82,0.345,-1.66,-0.01,17.66,79.12
"Skylar
                                                                        Mays","Skylar
 Mays",2,CCY,Eastern,Ohio River Valley,Jr,OF,2,4,0.07,No,3,1,0.25,1,1,0,0,0,1,1,25.00%,1,25.00%,2,50.00%,0,0,0.00%,0.333,0.500,0.500,0.333,0.833,108.06,96.22,0.000,0,0,0,1,0,0,0,1,0.00,0.63,0.395,0.12,0.03,0.79,105.01
"Tyler
                                                                        Cox","Tyler
 Cox",11,CCY,Eastern,Ohio River Valley,So,OF,37,169,2.91,Yes,115,44,0.26,39,20,8,0,11,39,48,28.40%,33,19.53%,92,54.44%,9,3,75.00%,0.339,0.373,0.527,0.696,1.223,203.86,181.53,0.357,2,4,0,80,19,0,12,29,0.41,50.77,0.507,21.36,0.13,49.99,162.30
"Zach
                                                                        Cabell","Zach
 Cabell",25,CCY,Eastern,Ohio River Valley,So,P,12,0,0.00,No,0,0,0.00,0,0,0,0,0,0,0,0.00%,0,0.00%,0,0.00%,0,1,0.00%,0.000,0.000,0.000,0.000,0.000,-100.00,-89.05,0.000,0,0,0,0,0,0,0,0,0.00,0.00,0.000,0.00,0.00,0.00,87.70
"Brody
                                                                        Chrisman","Brody
 Chrisman",5,CGR,Western,Prairie Land,Fr,OF,49,215,3.77,Yes,179,41,0.19,69,47,17,0,5,55,26,12.09%,31,14.42%,62,28.84%,15,1,93.75%,0.385,0.438,0.472,0.564,1.036,157.60,200.50,0.179,6,3,1,101,22,4,44,38,1.16,53.22,0.449,16.48,0.08,52.91,166.65
"Caden
                                                                        Bogenpohl","Caden
 Bogenpohl",13,CGR,Western,Prairie Land,Fr,OF,25,51,0.89,No,42,7,0.14,12,5,5,0,2,9,7,13.73%,18,35.29%,27,52.94%,1,0,100.00%,0.286,0.435,0.392,0.548,0.940,133.44,169.78,0.262,1,1,0,23,7,0,5,8,0.63,10.24,0.403,1.85,0.04,10.49,142.78
"Cal
                                                                        Kilgore","Cal
 Kilgore",0,CGR,Western,Prairie Land,So,C,13,56,0.98,No,39,8,0.14,7,4,2,0,1,4,10,17.86%,13,23.21%,24,42.86%,4,0,100.00%,0.179,0.231,0.411,0.308,0.719,79.42,101.05,0.129,6,1,0,12,3,0,6,14,0.43,7.71,0.347,-0.71,-0.01,8.78,113.96
"Chris
                                                                        Hall","Chris
 Hall",3,CGR,Western,Prairie Land,Sr,OF,51,243,4.26,Yes,185,61,0.25,65,51,10,4,0,23,50,20.58%,34,13.99%,84,34.57%,43,5,89.58%,0.351,0.430,0.504,0.449,0.953,137.50,174.94,0.098,7,0,1,83,14,1,43,38,1.13,57.62,0.430,14.56,0.06,55.74,156.77
"Creek
                                                                        Robertson","Creek
 Robertson",24,CGR,Western,Prairie Land,Fr,IF,15,48,0.84,No,37,9,0.19,9,6,1,0,2,7,6,12.50%,10,20.83%,18,37.50%,5,2,71.43%,0.243,0.269,0.396,0.432,0.828,106.02,134.89,0.189,4,1,0,16,3,2,7,12,0.58,6.79,0.371,0.42,0.01,8.56,126.62
"Curry
                                                                        Sutherland","Curry
 Sutherland",1,CGR,Western,Prairie Land,Fr,IF,40,104,1.82,No,78,18,0.17,19,10,5,0,4,11,20,19.23%,23,22.12%,47,45.19%,0,1,0.00%,0.244,0.294,0.427,0.462,0.889,121.22,154.22,0.218,5,0,1,36,9,1,16,21,0.76,17.37,0.399,3.37,0.03,20.99,140.52
"Dante
                                                                        Zamudio","Dante
 Zamudio",31,CGR,Western,Prairie Land,So,IF,30,75,1.32,No,58,17,0.23,14,7,3,3,1,9,9,12.00%,11,14.67%,21,28.00%,6,1,85.71%,0.241,0.271,0.387,0.448,0.835,107.67,136.98,0.207,6,2,0,26,7,2,15,18,0.83,11.81,0.367,0.38,0.01,13.08,124.37
"Dee
                                                                        Triplett","Dee
 Triplett",10,CGR,Western,Prairie Land,Jr,IF,26,93,1.63,No,66,17,0.18,18,12,4,1,1,7,21,22.58%,14,15.05%,36,38.71%,2,0,100.00%,0.273,0.333,0.478,0.409,0.887,121.12,154.10,0.136,5,0,1,27,6,0,12,19,0.63,16.71,0.408,3.81,0.04,19.56,145.57
"Hayden
                                                                        Nazarenus","Hayden
 Nazarenus",99,CGR,Western,Prairie Land,Fr,OF,4,10,0.18,No,8,1,0.10,2,1,0,0,1,5,1,10.00%,2,20.00%,4,40.00%,0,0,0.00%,0.250,0.200,0.400,0.625,1.025,154.34,196.36,0.375,1,0,0,5,1,0,3,1,3.00,2.21,0.440,0.68,0.07,2.38,161.80
"Jack
                                                                        Dunn","Jack
 Dunn",2,CGR,Western,Prairie Land,Fr,IF,1,5,0.09,No,3,1,0.20,0,0,0,0,0,1,2,40.00%,2,40.00%,4,80.00%,0,0,0.00%,0.000,0.000,0.400,0.000,0.400,1.15,1.46,0.000,0,0,0,0,0,0,0,1,0.00,0.21,0.276,-0.37,-0.07,0.48,77.63
"Jacob
                                                                        Baller","Jacob
 Baller",99,CGR,Western,Prairie Land,Fr,C,1,5,0.09,No,4,1,0.20,1,1,0,0,0,0,0,0.00%,2,40.00%,2,40.00%,0,0,0.00%,0.250,0.500,0.400,0.250,0.650,62.43,79.42,0.000,1,0,0,1,0,0,1,0,0.00,0.50,0.322,-0.17,-0.03,0.68,101.24
"Jacob
                                                                        Danneman","Jacob
 Danneman",4,CGR,Western,Prairie Land,So,IF,12,38,0.67,No,33,4,0.11,7,5,2,0,0,4,1,2.63%,11,28.95%,12,31.58%,1,0,100.00%,0.212,0.318,0.297,0.273,0.570,42.02,53.46,0.061,3,0,1,9,2,1,8,5,1.60,2.92,0.266,-3.15,-0.08,3.29,72.47
"Jeff
                                                                        Clarke","Jeff
 Clarke",26,CGR,Western,Prairie Land,Jr,OF,40,180,3.16,Yes,137,43,0.24,36,25,6,2,3,37,26,14.44%,46,25.56%,75,41.67%,15,2,88.24%,0.263,0.359,0.417,0.401,0.818,103.74,131.98,0.138,13,4,0,55,11,1,24,32,0.75,30.01,0.371,1.46,0.01,31.96,126.19
"Jude
                                                                        Putz","Jude
 Putz",15,CGR,Western,Prairie Land,Fr,IF,16,56,0.98,No,49,8,0.14,15,13,0,1,1,8,7,12.50%,7,12.50%,15,26.79%,2,0,100.00%,0.306,0.341,0.393,0.408,0.801,99.38,126.44,0.102,0,0,0,20,2,2,16,11,1.45,8.16,0.359,-0.10,0.00,9.39,120.38
"Justin
                                                                        Carinci","Justin
 Carinci",6,CGR,Western,Prairie Land,So,IF,52,239,4.19,Yes,207,51,0.21,80,62,14,4,0,47,19,7.95%,19,7.95%,38,15.90%,26,3,89.66%,0.386,0.419,0.456,0.493,0.949,136.15,173.21,0.107,10,3,0,102,18,7,45,57,0.79,51.62,0.417,11.66,0.05,52.15,150.18
"Kaden
                                                                        Jeffries","Kaden
 Jeffries",29,CGR,Western,Prairie Land,Fr,IF,25,88,1.54,No,76,12,0.14,17,8,5,0,4,17,9,10.23%,26,29.55%,39,44.32%,0,0,0.00%,0.224,0.277,0.318,0.447,0.765,89.98,114.47,0.223,2,1,0,34,9,4,15,17,0.88,10.19,0.335,-1.98,-0.02,12.93,108.14
"Kevin
                                                                        Balfe","Kevin
 Balfe",99,CGR,Western,Prairie Land,Sr,INF,1,3,0.05,No,3,0,0.00,0,0,0,0,0,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0.000,0.000,0.000,0.000,0.000,-100.00,-127.23,0.000,0,0,0,0,0,0,1,2,0.50,0.00,0.000,-0.94,-0.31,-0.43,-64.02
"Kevin
                                                                        McCarthy","Kevin
 McCarthy",19,CGR,Western,Prairie Land,Sr,IF,45,191,3.35,Yes,155,32,0.17,43,33,8,0,2,33,29,15.18%,29,15.18%,60,31.41%,3,1,75.00%,0.277,0.325,0.400,0.368,0.768,91.35,116.22,0.091,4,2,1,57,10,3,42,41,1.02,25.90,0.351,-1.77,-0.01,30.59,115.93
"Kolten
                                                                        Poorman","Kolten
 Poorman",17,CGR,Western,Prairie Land,Jr,IF,31,112,1.96,No,89,16,0.14,17,12,3,0,2,14,19,16.96%,19,16.96%,40,35.71%,3,0,100.00%,0.191,0.217,0.348,0.292,0.640,59.57,75.79,0.101,3,1,0,26,5,9,24,28,0.86,9.05,0.303,-5.66,-0.05,13.32,91.60
"Landon
                                                                        Godsey","Landon
 Godsey",22,CGR,Western,Prairie Land,So,C,36,153,2.68,No,126,29,0.19,40,24,11,1,4,27,19,12.42%,16,10.46%,39,25.49%,1,1,50.00%,0.317,0.333,0.421,0.516,0.937,132.93,169.13,0.199,5,2,1,65,16,3,19,52,0.37,28.75,0.408,6.25,0.04,32.18,145.53
"Lane
                                                                        Crowden","Lane
 Crowden",23,CGR,Western,Prairie Land,Jr,IF,39,162,2.84,Yes,133,23,0.14,41,26,8,3,4,40,21,12.96%,27,16.67%,52,32.10%,20,2,90.91%,0.308,0.349,0.404,0.504,0.908,125.69,159.92,0.196,3,4,1,67,15,5,25,45,0.56,30.88,0.393,4.41,0.03,31.86,137.48
"Quinton
                                                                        Borders","Quinton
 Borders",28,CGR,Western,Prairie Land,Fr,IF,24,88,1.54,No,77,12,0.14,20,15,4,0,1,12,9,10.23%,14,15.91%,24,27.27%,2,2,50.00%,0.260,0.306,0.352,0.351,0.703,75.04,95.47,0.091,2,0,0,27,5,4,20,19,1.05,8.78,0.320,-3.14,-0.04,11.77,100.33
"Scott
                                                                        Shuler","Scott
 Shuler",99,CGR,Western,Prairie Land,Sr,INF,1,2,0.04,No,1,0,0.00,0,0,0,0,0,1,0,0.00%,1,50.00%,1,50.00%,0,0,0.00%,0.000,0.000,0.000,0.000,0.000,-100.00,-127.23,0.000,0,0,1,0,0,0,1,0,0.00,0.00,0.000,-0.63,-0.31,-0.29,-64.02
"Tucker
                                                                        Stockman","Tucker
 Stockman",27,CGR,Western,Prairie Land,Fr,C,23,95,1.67,No,72,21,0.22,22,13,6,0,3,14,10,10.53%,17,17.89%,30,31.58%,3,0,100.00%,0.306,0.365,0.474,0.514,0.988,145.85,185.55,0.208,13,0,0,37,9,2,14,16,0.88,20.16,0.439,6.46,0.07,22.55,161.53
"Arturo
                                                                        Disla","Arturo
 Disla",49,CHI,Eastern,Ohio River Valley,So,IF,40,174,3.00,Yes,144,33,0.19,49,31,6,2,10,59,23,13.22%,23,13.22%,56,32.18%,1,1,50.00%,0.340,0.345,0.443,0.618,1.061,163.50,181.26,0.278,5,2,0,89,18,8,44,23,1.91,38.24,0.454,13.96,0.08,43.44,157.16
"Brayden
                                                                        White","Brayden
 White",7,CHI,Eastern,Ohio River Valley,So,C,28,112,1.93,No,97,15,0.13,23,19,4,0,0,9,9,8.04%,15,13.39%,24,21.43%,3,0,100.00%,0.237,0.271,0.313,0.278,0.591,47.29,52.43,0.041,3,3,0,27,4,3,29,31,0.94,9.50,0.271,-8.79,-0.08,10.19,63.50
"Brayton
                                                                        Bowen","Brayton
 Bowen",89,CHI,Eastern,Ohio River Valley,Fr,IF,4,8,0.14,No,6,3,0.38,1,1,0,0,0,0,2,25.00%,3,37.50%,5,62.50%,0,0,0.00%,0.167,0.333,0.375,0.167,0.542,35.76,39.65,0.000,0,0,0,1,0,0,2,0,0.00,0.57,0.284,-0.54,-0.07,0.82,70.01
"Caleb
                                                                        Vaughn","Caleb
 Vaughn",97,CHI,Eastern,Ohio River Valley,Jr,OF,5,20,0.34,No,15,4,0.20,5,4,1,0,0,4,5,25.00%,4,20.00%,9,45.00%,3,1,75.00%,0.333,0.455,0.500,0.400,0.900,124.48,138.00,0.067,0,0,0,6,1,0,3,3,1.00,3.99,0.414,0.92,0.05,4.31,136.86
"Cameron
                                                                        Bowen","Cameron
 Bowen",2,CHI,Eastern,Ohio River Valley,Jr,IF,43,186,3.21,Yes,161,36,0.19,49,38,7,1,3,28,20,10.75%,28,15.05%,51,27.42%,9,2,81.82%,0.304,0.348,0.387,0.416,0.803,99.83,110.67,0.112,3,2,0,67,11,2,36,44,0.82,28.77,0.358,-0.53,0.00,30.98,108.12
"Cameron
                                                                        Macon","Cameron
 Macon",99,CHI,Eastern,Ohio River Valley,Jr,IF,17,51,0.88,No,46,6,0.12,6,6,0,0,0,3,2,3.92%,13,25.49%,15,29.41%,0,0,0.00%,0.130,0.182,0.216,0.130,0.346,-13.52,-14.98,0.000,3,0,0,6,0,0,12,14,0.86,1.57,0.174,-8.30,-0.16,0.34,13.74
"CJ
                                                                        Carmichael","CJ
 Carmichael",35,CHI,Eastern,Ohio River Valley,Fr,IF,11,36,0.62,No,31,9,0.25,11,9,1,0,1,5,3,8.33%,5,13.89%,9,25.00%,1,0,100.00%,0.355,0.400,0.429,0.484,0.913,127.11,140.92,0.129,1,0,1,15,2,0,8,5,1.60,7.12,0.405,1.36,0.04,7.46,132.16
"CJ
                                                                        Dean","CJ
 Dean",37,CHI,Eastern,Ohio River Valley,Fr,OF,20,84,1.45,No,75,19,0.23,27,17,7,0,3,25,3,3.57%,13,15.48%,19,22.62%,3,0,100.00%,0.360,0.387,0.393,0.573,0.966,139.82,155.02,0.213,3,3,0,43,10,2,8,26,0.31,17.60,0.411,3.65,0.04,17.89,135.48
"Cole
                                                                        Kwiatkowski","Cole
 Kwiatkowski",11,CHI,Eastern,Ohio River Valley,Jr,IF,43,179,3.09,Yes,156,45,0.25,56,45,6,3,2,28,10,5.59%,15,8.38%,27,15.08%,17,2,89.47%,0.359,0.380,0.415,0.474,0.889,121.12,134.28,0.115,7,3,3,74,11,5,35,49,0.71,33.32,0.390,4.50,0.03,34.82,124.63
"Drew
                                                                        Donaldson","Drew
 Donaldson",88,CHI,Eastern,Ohio River Valley,Jr,IF,9,43,0.74,No,36,14,0.33,13,9,2,2,0,10,5,11.63%,6,13.95%,11,25.58%,4,0,100.00%,0.361,0.419,0.442,0.528,0.970,141.19,156.52,0.167,1,1,0,19,4,2,11,6,1.83,9.16,0.418,2.11,0.05,9.39,138.74
"Gavin
                                                                        Ganun","Gavin
 Ganun",12,CHI,Eastern,Ohio River Valley,So,OF,27,111,1.91,No,99,21,0.19,27,14,7,0,6,15,10,9.01%,27,24.32%,43,38.74%,0,0,0.00%,0.273,0.318,0.351,0.525,0.876,117.44,130.20,0.252,2,0,0,52,13,1,14,28,0.50,18.87,0.381,1.90,0.02,20.71,119.92
"Jack
                                                                        Gidcumb","Jack
 Gidcumb",98,CHI,Eastern,Ohio River Valley,So,C,9,37,0.64,No,33,7,0.19,8,5,1,2,0,3,4,10.81%,12,32.43%,16,43.24%,0,0,0.00%,0.242,0.381,0.324,0.394,0.718,78.50,87.03,0.152,0,0,0,13,3,2,8,4,2.00,3.79,0.317,-1.43,-0.04,4.84,86.95
"Jimmy
                                                                        Nugent","Jimmy
 Nugent",8,CHI,Eastern,Ohio River Valley,Fr,C,27,102,1.76,No,86,16,0.16,23,16,1,1,5,17,14,13.73%,30,29.41%,49,48.04%,0,1,0.00%,0.267,0.346,0.366,0.477,0.843,109.47,121.36,0.210,0,1,1,41,7,3,14,20,0.70,14.78,0.369,0.70,0.01,17.98,113.87
"Mason
                                                                        Eckelman","Mason
 Eckelman",39,CHI,Eastern,Ohio River Valley,Fr,C,11,50,0.86,No,46,10,0.20,18,12,4,2,0,12,4,8.00%,11,22.00%,15,30.00%,1,0,100.00%,0.391,0.514,0.440,0.565,1.005,149.75,166.02,0.174,0,0,0,26,6,1,11,5,2.20,11.58,0.435,3.21,0.06,11.69,147.74
"Max
                                                                        Whitesell","Max
 Whitesell",28,CHI,Eastern,Ohio River Valley,So,P,3,1,0.02,No,1,0,0.00,0,0,0,0,0,0,0,0.00%,1,100.00%,1,100.00%,0,0,0.00%,0.000,0.000,0.000,0.000,0.000,-100.00,-110.86,0.000,0,0,0,0,0,0,0,0,0.00,0.00,0.000,-0.31,-0.31,-0.14,-75.62
"Nate
                                                                        Dorinsky","Nate
 Dorinsky",26,CHI,Eastern,Ohio River Valley,So,OF,35,122,2.10,No,100,14,0.11,24,16,5,1,2,16,15,12.30%,23,18.85%,40,32.79%,6,2,75.00%,0.240,0.282,0.352,0.370,0.722,79.70,88.36,0.130,4,3,0,37,8,2,25,28,0.89,14.90,0.325,-3.86,-0.03,16.81,91.14
"Owen
                                                                        Wilson","Owen
 Wilson",21,CHI,Eastern,Ohio River Valley,Jr,IF,37,152,2.62,No,121,35,0.23,38,31,5,1,1,19,22,14.47%,26,17.11%,49,32.24%,14,2,87.50%,0.314,0.381,0.434,0.397,0.831,107.05,118.68,0.083,6,3,0,48,7,0,28,27,1.04,27.00,0.376,1.95,0.01,27.71,117.38
"Sammy
                                                                        Stoner","Sammy
 Stoner",17,CHI,Eastern,Ohio River Valley,So,OF,33,106,1.83,No,83,17,0.16,28,27,0,0,1,12,15,14.15%,14,13.21%,30,28.30%,3,0,100.00%,0.337,0.386,0.441,0.373,0.814,102.94,114.13,0.036,2,2,4,31,1,1,33,7,4.71,16.65,0.372,0.97,0.01,18.93,115.18
"Sean
                                                                        Kolenich","Sean
 Kolenich",38,CHI,Eastern,Ohio River Valley,So,IF,27,110,1.90,No,96,17,0.15,24,14,6,1,3,22,12,10.91%,13,11.82%,28,25.45%,6,1,85.71%,0.250,0.263,0.345,0.427,0.772,91.90,101.89,0.177,2,0,0,41,10,1,27,29,0.93,15.63,0.343,-1.76,-0.02,16.88,100.37
"Tim
                                                                        Orr","Tim
 Orr",33,CHI,Eastern,Ohio River Valley,Jr,OF,50,221,3.81,Yes,179,61,0.28,69,43,15,5,6,54,35,15.84%,31,14.03%,72,32.58%,13,1,92.86%,0.385,0.432,0.484,0.626,1.110,175.83,194.93,0.241,3,4,0,112,26,0,30,47,0.64,62.70,0.472,21.29,0.10,58.74,166.67
"Tyler
                                                                        Mendez","Tyler
 Mendez",5,CHI,Eastern,Ohio River Valley,Fr,P,26,47,0.81,No,43,6,0.13,9,5,2,0,2,7,3,6.38%,13,27.66%,18,38.30%,0,0,0.00%,0.209,0.250,0.277,0.395,0.672,66.86,74.13,0.186,1,0,0,17,4,1,11,10,1.10,4.61,0.297,-2.61,-0.06,5.35,77.04
"Tyler
                                                                        Shaneyfelt","Tyler
 Shaneyfelt",16,CHI,Eastern,Ohio River Valley,Jr,OF,41,192,3.31,Yes,155,47,0.24,55,49,3,2,1,18,34,17.71%,27,14.06%,62,32.29%,26,7,78.79%,0.355,0.425,0.474,0.419,0.893,122.56,135.88,0.064,1,0,2,65,6,0,31,42,0.74,38.33,0.405,7.29,0.04,39.82,132.21
"Victor
                                                                        Figueroa","Victor
 Figueroa",10,CHI,Eastern,Ohio River Valley,Fr,IF,44,177,3.05,Yes,151,36,0.20,65,47,9,1,8,50,23,12.99%,26,14.69%,57,32.20%,4,2,66.67%,0.430,0.479,0.503,0.662,1.165,189.45,210.04,0.232,1,2,0,100,18,2,33,25,1.32,52.52,0.499,21.15,0.12,51.14,180.33
"Alex
                                                                        Diaz","Alex
 Diaz",99,CLN,Western,Great River,So,IF,35,133,2.29,No,97,19,0.14,23,18,5,0,0,18,26,19.55%,21,15.79%,47,35.34%,7,2,77.78%,0.237,0.295,0.429,0.289,0.718,79.32,86.88,0.052,8,2,0,28,5,5,22,28,0.79,15.61,0.346,-1.72,-0.01,20.81,101.06
"Andy
                                                                        Nelson","Andy
 Nelson",40,CLN,Western,Great River,Jr,IF,7,28,0.48,No,22,6,0.21,7,6,1,0,0,3,4,14.29%,7,25.00%,11,39.29%,4,0,100.00%,0.318,0.438,0.429,0.364,0.793,97.70,107.01,0.046,1,1,0,8,1,0,2,7,0.29,5.10,0.360,-0.02,0.00,4.72,108.23
"Brandon
                                                                        Vicko","Brandon
 Vicko",17,CLN,Western,Great River,Fr,C,24,87,1.50,No,67,19,0.22,12,8,1,1,2,12,20,22.99%,25,28.74%,47,54.02%,6,1,85.71%,0.179,0.250,0.368,0.313,0.681,69.78,76.42,0.134,0,0,0,21,4,0,10,15,0.67,10.45,0.322,-2.98,-0.03,11.76,88.52
"Brock
                                                                        Wollin","Brock
 Wollin",22,CLN,Western,Great River,So,IF,22,84,1.45,No,75,13,0.15,21,18,3,0,0,8,6,7.14%,18,21.43%,24,28.57%,3,0,100.00%,0.280,0.368,0.357,0.320,0.677,68.71,75.26,0.040,3,0,0,24,3,4,19,11,1.73,8.64,0.311,-3.67,-0.04,10.56,82.93
"Carson
                                                                        Lydon","Carson
 Lydon",99,CLN,Western,Great River,Fr,P,14,30,0.52,No,27,4,0.13,9,7,2,0,0,3,2,6.67%,6,20.00%,8,26.67%,1,0,100.00%,0.333,0.429,0.400,0.407,0.807,100.91,110.52,0.074,1,0,0,11,2,0,6,4,1.50,4.92,0.362,0.03,0.00,5.11,109.24
"Casen
                                                                        Neumann","Casen
 Neumann",99,CLN,Western,Great River,So,IF,28,118,2.03,No,87,19,0.16,22,15,5,0,2,23,15,12.71%,24,20.34%,41,34.75%,4,1,80.00%,0.253,0.313,0.424,0.379,0.803,100.11,109.65,0.126,13,3,0,33,7,1,16,26,0.62,17.87,0.370,0.85,0.01,20.84,112.96
"Casey
                                                                        Hintz","Casey
 Hintz",99,CLN,Western,Great River,Fr,IF,26,113,1.95,No,89,15,0.13,16,13,1,2,0,10,17,15.04%,28,24.78%,45,39.82%,11,2,84.62%,0.180,0.262,0.348,0.236,0.584,45.84,50.21,0.056,6,0,1,21,3,2,25,21,1.19,10.29,0.287,-7.31,-0.06,11.83,70.51
"Connor
                                                                        Giusti","Connor
 Giusti",8,CLN,Western,Great River,Jr,IF,40,165,2.84,Yes,144,19,0.12,40,29,9,0,2,23,16,9.70%,22,13.33%,40,24.24%,0,0,0.00%,0.278,0.317,0.370,0.382,0.752,87.19,95.50,0.104,5,0,0,55,11,3,36,40,0.90,21.25,0.340,-3.07,-0.02,24.88,97.72
"Darrell Michael
                                                                        Jean","Darrell Michael
 Jean",28,CLN,Western,Great River,Fr,IF,15,45,0.78,No,36,7,0.16,3,2,0,1,0,5,8,17.78%,12,26.67%,20,44.44%,2,1,66.67%,0.083,0.125,0.267,0.139,0.406,1.59,1.74,0.056,1,0,0,5,1,1,9,10,0.90,1.86,0.214,-5.75,-0.13,1.87,33.22
"Dylan
                                                                        DeButy","Dylan
 DeButy",23,CLN,Western,Great River,Jr,C,19,69,1.19,No,51,10,0.14,13,8,1,2,2,16,13,18.84%,18,26.09%,33,47.83%,0,0,0.00%,0.255,0.344,0.435,0.471,0.906,125.44,137.40,0.216,4,1,0,24,5,2,6,13,0.46,11.74,0.401,2.39,0.03,14.08,129.17
"Gavin
                                                                        Brzozowski","Gavin
 Brzozowski",99,CLN,Western,Great River,Fr,P,24,107,1.84,No,82,25,0.23,32,17,13,0,2,22,20,18.69%,12,11.21%,34,31.78%,10,3,76.92%,0.390,0.429,0.514,0.622,1.136,182.43,199.82,0.232,3,2,0,51,15,0,15,23,0.65,30.72,0.484,11.43,0.11,29.56,171.74
"Jai
                                                                        Jensen","Jai
 Jensen",71,CLN,Western,Great River,Fr,P,10,2,0.03,No,2,0,0.00,0,0,0,0,0,0,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0.000,0.000,0.000,0.000,0.000,-100.00,-109.53,0.000,0,0,0,0,0,0,2,0,0.00,0.00,0.000,-0.63,-0.31,-0.29,-76.72
"Jeremy
                                                                        Conforti","Jeremy
 Conforti",41,CLN,Western,Great River,So,IF,25,107,1.84,No,85,17,0.16,25,13,9,0,3,24,12,11.21%,22,20.56%,37,34.58%,1,0,100.00%,0.294,0.349,0.411,0.506,0.917,127.95,140.15,0.212,7,3,0,43,12,4,18,19,0.95,18.70,0.398,3.45,0.03,21.57,127.71
"Jeremy
                                                                        Figueroa","Jeremy
 Figueroa",5,CLN,Western,Great River,Sr,IF,20,78,1.34,No,69,11,0.14,14,7,4,0,3,14,7,8.97%,11,14.10%,21,26.92%,2,1,66.67%,0.203,0.196,0.282,0.391,0.673,67.15,73.54,0.188,1,1,0,27,7,2,20,21,0.95,7.46,0.297,-4.37,-0.06,8.85,75.67
"Kyle
                                                                        Lehmann","Kyle
 Lehmann",99,CLN,Western,Great River,Jr,OF,7,20,0.34,No,16,3,0.15,3,3,0,0,0,4,2,10.00%,5,25.00%,7,35.00%,2,1,66.67%,0.188,0.250,0.263,0.188,0.451,12.59,13.78,0.000,0,1,1,3,0,1,5,2,2.50,0.84,0.213,-2.58,-0.13,0.81,32.68
"Logan
                                                                        Romasanta","Logan
 Romasanta",13,CLN,Western,Great River,So,P,20,19,0.33,No,17,3,0.16,3,2,1,0,0,2,2,10.53%,6,31.58%,8,42.11%,0,0,0.00%,0.176,0.273,0.263,0.235,0.498,24.11,26.40,0.059,0,0,0,4,1,0,1,6,0.17,1.19,0.233,-2.12,-0.11,1.10,42.94
"Matt
                                                                        Scherrman","Matt
 Scherrman",44,CLN,Western,Great River,Jr,IF,5,21,0.36,No,17,3,0.14,8,5,2,0,1,4,3,14.29%,1,4.76%,5,23.81%,1,0,100.00%,0.471,0.467,0.571,0.765,1.336,231.90,253.99,0.294,1,0,0,13,3,0,2,4,0.50,8.32,0.566,3.73,0.18,7.29,213.62
"Max
                                                                        Holy","Max
 Holy",7,CLN,Western,Great River,Jr,IF,43,196,3.38,Yes,163,44,0.22,57,37,17,1,2,32,30,15.31%,28,14.29%,60,30.61%,22,2,91.67%,0.350,0.407,0.446,0.503,0.949,136.07,149.04,0.153,0,2,1,82,20,3,31,43,0.72,43.01,0.416,9.26,0.05,42.46,136.57
"Nick
                                                                        Meyer","Nick
 Meyer",10,CLN,Western,Great River,So,C,18,68,1.17,No,58,10,0.15,10,6,3,1,0,7,7,10.29%,10,14.71%,17,25.00%,1,0,100.00%,0.172,0.200,0.265,0.259,0.524,30.49,33.40,0.087,1,2,0,15,4,4,16,19,0.84,3.84,0.240,-7.17,-0.11,4.35,46.45
"Parker
                                                                        Shupe","Parker
 Shupe",2,CLN,Western,Great River,Jr,OF,28,125,2.16,No,98,17,0.14,25,16,7,0,2,19,23,18.40%,23,18.40%,48,38.40%,7,3,70.00%,0.255,0.307,0.400,0.388,0.788,96.25,105.42,0.133,2,2,0,38,9,1,25,21,1.19,18.10,0.357,-0.45,0.00,20.73,106.56
"Patrick
                                                                        McGinn","Patrick
 McGinn",4,CLN,Western,Great River,Fr,OF,5,15,0.26,No,12,1,0.07,2,2,0,0,0,3,3,20.00%,2,13.33%,5,33.33%,0,0,0.00%,0.167,0.200,0.333,0.167,0.500,25.14,27.53,0.000,0,0,0,2,0,0,2,6,0.33,0.93,0.257,-1.36,-0.09,1.18,55.01
